Año,Quarter,Balance Cartera,Cargos a la Reserva,Recobros,Cargos Netos a la Reserva,"""Rate"" de Pérdida en Cartera"
2015,1 Quarter,"69,752,526",0,"21,980","-21,980",-0.00032
,2 Quarter,"68,997,722","510,455","21,980","488,476",0.00708
,3 Quarter,"68,933,030","692,698","21,980","670,719",0.00973
,4 Quarter,"67,434,724",0,"21,980","-21,980",-0.00033
2016,1 Quarter,"66,242,956",0,"25,014","-25,014",-0.00038
,2 Quarter,"64,285,590","466,804","25,014","441,790",0.00687
,3 Quarter,"63,229,965","494,328","25,014","469,314",0.00742
,4 Quarter,"61,522,913","511,282","25,014","486,268",0.0079
2017,1 Quarter,"61,000,858",0,"35,121","-35,121",-0.00058
,2 Quarter,"59,367,565","780,737","35,121","745,616",0.01256
,3 Quarter,"59,142,886","410,375","35,121","375,254",0.00634
,4 Quarter,"59,660,071","184,571","35,121","149,450",0.00251
2018,1 Quarter,"57,835,561","436,012","37,821","398,191",0.00688
,2 Quarter,"57,156,598","244,263","37,821","206,442",0.00361
,3 Quarter,"56,839,582","444,745","37,821","406,924",0.00716
,4 Quarter,"57,263,212","327,817","37,821","289,996",0.00506
2019,1 Quarter,"58,748,412","69,928","64,977","4,952",0.00008
,2 Quarter,"59,735,505","366,893","64,977","301,917",0.00505
,3 Quarter,"60,843,948","260,537","64,977","195,561",0.00321
,4 Quarter,"60,561,225","331,944","64,977","266,968",0.00441
2020,1 Quarter,"63,118,513",0,"51,699","-51,699",-0.00082
,2 Quarter,"63,414,827","290,241","51,699","238,542",0.00376
,3 Quarter,"61,394,215","228,575","51,699","176,876",0.00288
,4 Quarter,"60,630,725","215,244","51,699","163,545",0.0027
2021,1 Quarter,"61,256,916",0,"39,689","-39,689",-0.00065
,2 Quarter,"59,716,337","323,323","39,689","283,634",0.00475
,3 Quarter,"58,871,542","211,309","39,689","171,620",0.00292
,4 Quarter,"58,620,362","308,662","39,689","268,973",0.00459
2022,1 Quarter,"59,370,312",0,"36,389","-36,389",-0.00061
,2 Quarter,"59,761,188","247,280","36,389","210,891",0.00353
,3 Quarter,"60,458,177","91,810","36,389","55,421",0.00092
,4 Quarter,"60,650,467","182,847","36,389","146,458",0.00241
2023,1 Quarter,"61,575,231","48,150","34,834","13,316",0.00022
,2 Quarter,"62,640,707","246,206","34,834","211,372",0.00337
,3 Quarter,"64,784,269","333,721","34,834","298,887",0.00461
,4 Quarter,"66,405,797","303,161","34,834","268,327",0.00404
,,,,,,
